Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	diff_protein_CLR	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD294	PTGDR2	556.94	340.44	-0.708477903939627	-0.106664340559244	0.55	0.2	-0.369233809665719	2.44	4.55	0.69007920653537
CD31	PECAM1	11923.5	9155.09	-0.381125225524047	0.0878036380171936	16.97	10.54	-0.638947184864459	99.93	81	-0.299659243825709
CD44-2	CD44	8629.7	9995.12	0.211890645475048	0.500587173392231	237.19	197.67	-0.261738809332372	291.55	326.59	0.163208099839428
CD133-1	PROM1	832.14	654.26	-0.34649147911171	0.103835430603077	0	0	0	44.3	45.87	0.0491537445454268
Podoplanin	PDPN	218.43	112.84	-0.946753214427059	-0.0859436444232955	0.1	0.2	0.125530882083859	2.2	2.48	0.121015400961366
CD140a	PDGFRA	401.64	330.19	-0.281831390400708	0.0969107082353602	0	0.04	0.0565835283663675	14.5	17.8	0.2784644464034
CD140b	PDGFRB	475.33	340.89	-0.47842918897752	0.0242299455658768	0.25	0.2	-0.0588936890535686	19.59	19.22	-0.0261608327292396
Cadherin11	CDH11	558.39	427.59	-0.384256274558424	0.0727923911898798	0	0	0	14.54	15.11	0.0519699902988588
CD340	ERBB2	1257.74	987.39	-0.348827997417134	0.0721365577965607	0.94	0.51	-0.361508102862049	41.7	42.17	0.0157930229536013
CD146	MCAM	907.15	693.09	-0.387807864820991	0.077957175874973	0.79	0.43	-0.323944440485867	26.84	25.17	-0.0892452868006934
CD324	CDH1	1312.25	951	-0.46410810584677	-0.016116046923823	0.84	1.17	0.237989276387466	25.31	49.18	0.931501222243283
IgM	IGHM	182.34	183.94	0.0125357151548156	0.127754520277368	3.28	5.27	0.550854646400892	NA	NA	NA
TCRgd	TRD/TRG	997.69	774.86	-0.364240576499592	0.0143792163934189	NA	NA	NA	NA	NA	NA
CD195	CCR5	847.74	552.24	-0.617417202316064	-0.00338374980442691	2.88	3.28	0.141554144214019	19.47	28.83	0.543252875311802
CD196	CCR6	1498.05	1207.84	-0.310425199830424	0.0897042797291343	8.49	9.52	0.148654712271193	29.88	29.87	-0.000467269652955576
CD185	CXCR5	389.57	385.32	-0.0157847702753264	0.175045578237929	3.08	2.81	-0.0987781544781735	51.87	34.54	-0.573005645352264
CD103	ITGAE	1593.3	1060.78	-0.586438255511254	0.106184594944139	33.79	72.21	1.0733680455768	135.22	142.27	0.0727980110246509
CD69	CD69	2230.91	91819.18	5.36246050232542	1.39080021449379	59.05	257.43	2.10553740482029	80.23	91.67	0.190089727306252
CD161	KLRB1	430.19	368.29	-0.223569523676528	0.0576993227522172	79.39	17.33	-2.13280926468459	7.77	6.65	-0.197117094864719
CD152	CTLA4	498.91	490.28	-0.0251228782104204	0.240621878486027	5.41	43.21	2.78597647233533	55.63	80.91	0.532473064528144
CD223	LAG3	1014.73	1286.83	0.342425205270441	0.39003566181247	9.08	34.9	1.8324882052105	13.46	24.75	0.832504880006825
CD27	CD27	22658.99	22911.57	0.0159920638494598	0.426091732589725	163.35	224.99	0.45948747874614	46.46	54.77	0.23277717044669
CD107a	LAMP1	1601.66	2220.67	0.471176145087007	0.485702645564854	50.12	48.21	-0.054936319816855	25.59	24.96	-0.0345933938585291
CD95	FAS	3077.83	5454.38	0.825297482378309	0.806724132726842	33.05	53.91	0.689414113044831	80.99	98.77	0.283158113921457
CD134	TNFRSF4	974.68	4837.9	2.31019916442504	0.898458707039798	41.14	451.78	3.42554801421539	6.29	13.69	1.01084367622934
HLA-DR	HLA-DRA	2492.78	3454.49	0.470556107125147	0.254383787091644	12.85	12.18	-0.071535605928499	4.57	4.55	-0.00518955610256356
CD1c	CD1C	566.37	571.88	0.0139431029162484	0.232050010011259	0.1	0	-0.137503523749935	0.48	0.71	0.208399149256948
CD11b-2	ITGAM	1040.7	910.69	-0.192324598178926	0.116011263373302	1.19	0.27	-0.786102372829008	20.03	21.56	0.101318217667014
CD64	FCGR1A	876.22	913.3	0.0597289150559815	0.289240014278083	0	0.04	0.0565835283663675	0.2	0.65	0.459431618637297
CD141	THBD	917.9	1103.54	0.265465892872911	0.200736574896085	0.05	0	-0.070389327891398	1.08	1.63	0.33847927115121
CD1d	CD1D	367.75	302.87	-0.279188799600806	0.0761280800820963	0	0	0	1.52	2.81	0.596367263993405
CD314	KLRK1	5833.42	5638.93	-0.0489119879472045	0.256242668539051	4.22	1.17	-1.26635476412541	35.61	32.65	-0.121631268806866
CD66b	CEACAM8	592.59	374.62	-0.66019290582358	-0.0767403078585379	0.05	0.12	0.0931094043914815	1.84	2.4	0.25964381663302
CD35	CR1	7966.19	8007.93	0.00753852975844288	0.138836186706388	0.79	0.08	-0.728928275100788	28.92	28.74	-0.00870552783521811
CD57-Recombinant	B3GAT1	2308.81	1718.75	-0.425575327892642	0.130982305884421	0.65	0.31	-0.332899212708365	12.78	13.93	0.11563827743025
CD366	HAVCR2	1097.72	1086.34	-0.0150206470753497	0.259753170038223	2.18	11.91	2.02139033002284	104.58	117.81	0.170319698883225
CD272	BTLA	434.21	355.14	-0.289267224723872	0.115886962265236	5.46	3.9	-0.398752415691354	83.63	80.11	-0.0612893722880651
CD278	ICOS	11215.41	38237.4	1.76941116714523	1.02823691314238	32.5	61.48	0.899233357909482	75.22	92.88	0.300648233711002
CD275-2	ICOSLG	1620.02	631.96	-1.35671565448554	-0.331501708181099	1.59	0.94	-0.416895445499426	NA	0	NA
CD96	CD96	1769.98	1568.91	-0.173866065080841	0.237883909674595	102.27	60.46	-0.748701539205197	350.07	432.57	0.304506216973568
CD39	ENTPD1	2063.79	1762.69	-0.227398055661907	0.155855174939436	2.53	3.12	0.222976153912038	45.22	57.34	0.335968126430547
CD178	FASLG	806.74	615.09	-0.390749865827336	0.0650624511458868	2.78	9.33	1.45038211464399	44.46	56.1	0.328893061432357
CX3CR1	CX3CR1	786.94	662.3	-0.248424249747833	0.189811088286631	2.03	0.78	-0.767440552506553	22.51	26.85	0.244402788574373
CD24	CD24	1106.84	735.65	-0.58869830656281	-0.0117412115640008	0.69	0.23	-0.458364930942944	3.12	5.35	0.62411225447631
CD21	CR2	600.32	819.58	0.448511048245002	0.218255307839297	0.25	0	-0.321928094887362	36.61	27	-0.425689479207978
CD79b	CD79B	1009.07	876.55	-0.202902045243942	0.126850539727692	14.34	9.88	-0.495619926252594	13.54	10.5	-0.338393408087857
CD66a/c/e	CEACAM1	388.75	402.07	0.0484813862598378	0.290004278564909	6.35	1.72	-1.43413759847339	16.78	16.71	-0.00569111207785571
CD244	CD244	1975.89	1694.45	-0.221564358575876	0.140030341831151	1.14	0.55	-0.465342581126909	61.36	51.13	-0.258507068101772
CD235ab	GYPA	164.73	149.11	-0.142814689635467	0.158440434899546	0	0	0	2.32	3.4	0.406320282177735
Siglec-8	SIGLEC8	1474.59	859.07	-0.778765928291322	-0.160457249459654	0.1	0.04	-0.0809199953835675	0.68	3.13	1.29768054864068
CD206	MRC1	976.5	662.26	-0.559522180225875	-0.0241462737879925	0.6	0.04	-0.62148837674627	21.19	19.84	-0.0905543899185033
CD169	SIGLEC1	488.22	347.75	-0.488290167526532	0.0166485134294988	0	0	0	3.93	4.05	0.0346957412612455
CD370	CLEC9A	549.14	429.92	-0.352378744535266	0.0994733817787349	0	0	0	7.09	8.69	0.260356962985103
XCR1	XCR1	388.82	278.24	-0.481302494441066	0.0251340217699147	0	0	0	3.28	4.11	0.255712494536475
Notch1	NOTCH1	1411.72	2534.98	0.844067814736239	1.04558430159094	14.19	23.23	0.673672534949263	103.66	121.07	0.221998522180151
integrin-7	ITGB7	6888.27	4155.99	-0.728811842911236	-0.0252884520375488	39	18.85	-1.01086099263177	54.23	56.66	0.0621187094238439
CD268	TNFRSF13C	1109.73	1327.87	0.258691812139664	0.278620335911431	4.47	7.14	0.573487961473691	8.93	10.73	0.240337390500135
CD42b	GP1BB	402.46	433.52	0.106996934329926	0.331812436001982	0	0	0	1.64	2.34	0.339310173115599
CD54	ICAM1	1634.92	3405.97	1.05838704475052	0.585654967434888	5.01	14.72	1.38716432154742	32.12	38.8	0.265065757931686
CD62P	SELP	1218.07	1265.96	0.0555900078849684	0.16047632043576	0.35	0.16	-0.218834601923259	75.78	71.3	-0.0867349130084694
CD119	IFNGR1	1405.43	840.4	-0.741174026258019	-0.114060059659632	31.16	16.51	-0.877088322745371	54.03	50.27	-0.102103430932065
TCRab	TRA	5197.95	433.64	-3.58032742318209	-1.56003663487902	NA	NA	NA	NA	NA	NA
Notch3	NOTCH3	979.71	631.71	-0.632282190751393	-0.105505624104191	0.4	0.27	-0.1405983301728	11.17	13.48	0.250732434369477
CD68	CD68	449.68	341.22	-0.397179352254945	0.0298369719599209	2.93	2.26	-0.269657348027529	11.98	21.32	0.782046643830049
Rat-IgG1k-isotypeCtrl	NA	2181.43	1125.14	-0.95454918890136	-0.271978878898364	NA	NA	NA	NA	NA	NA
Rat-IgG1l-IsotypeCtrl	NA	744.94	373.52	-0.99401682826939	-0.238260555316779	NA	NA	NA	NA	NA	NA
Rat-IgG2c-IsotypeCtrl	NA	508.28	272.97	-0.894441136859754	-0.197614539702683	NA	NA	NA	NA	NA	NA
CD192	CCR2	580.46	553.75	-0.0678421863071312	0.283936008683751	3.37	1.09	-1.06413033741972	12.9	20.05	0.598735350342888
CD102	ICAM2	5027.63	3933.29	-0.354062101847836	0.186349051120344	66.94	47.43	-0.488360215277577	93.28	71.3	-0.382956111411687
CD106	VCAM1	1859.32	1311.98	-0.502705865072533	0.0138796108154443	0.25	0.12	-0.158429362604483	6.01	5.94	-0.0144787814323621
CD122	IL2RB	1323.57	910.2	-0.539684436157649	-0.0694238914329855	28.88	68.27	1.21305052570603	87.28	120.5	0.460797779100891
CD267	TNFRSF13B	184.1	159.07	-0.209601949045627	0.0948411920998867	0.45	1.09	0.527450042065948	7.01	6.62	-0.0720112449153881
CD62E	SELE	527.33	419.39	-0.329710980632205	0.0769949141691622	0	0.04	0.0565835283663675	7.37	8.93	0.24656609497803
CD135	FLT3	411.2	309.36	-0.409401873641565	0.0426355489060825	0	0	0	21.51	25.73	0.247893780788922
CD41	ITGA2B	472.44	519.65	0.137132264243243	0.14310177745459	0.65	0.31	-0.332899212708365	22.15	22.24	0.00559787525693
CD137	TNFRSF9	507.46	2035.18	2.00165891409263	0.777849555314743	5.21	73.38	3.58224957439151	18.83	37.2	0.945887960694264
CD43	SPN	4954.25	3285.04	-0.592607803538374	-0.0191257889117358	104.06	53.48	-0.947414881142643	32.44	29.45	-0.135132619287188
CD163	CD163	647.42	550.07	-0.23469300067791	0.181360958188044	0	0	0	3.72	3.58	-0.0434392612648975
CD83	CD83	1029.38	1140.05	0.14718551521075	0.349063214876095	8.24	30.33	1.761580012955	41.58	40.39	-0.0408937012220033
CD357	TNFRSF18	925.51	732.42	-0.33716693945572	0.117281143060262	21.49	143.21	2.68081564308124	11.98	23.12	0.893939523900946
CD59	CD59	1102.57	1101.09	-0.00193609983493971	0.376882520356467	40.09	40.28	0.00665564025559781	108.22	105.78	-0.0325956078097522
CD309	KDR	286.46	223.88	-0.354205860473202	0.0878232888251221	0	0.08	0.111031312388744	4.29	4.11	-0.0499444311764044
CD124	IL4R	546.82	499.72	-0.129697856014519	0.208611484556972	40.99	92.16	1.14966485137585	72.18	128.37	0.821981784414798
CD13	ANPEP	2803.82	1889.95	-0.568796972071435	-0.0263473627432032	0.35	0.08	-0.321928094887362	7.69	7.63	-0.00999561763544551
CD184	CXCR4	5921.57	3354.75	-0.819588104606405	-0.252484847145881	319.31	137.83	-1.20614948348521	98.17	65.74	-0.571352069202503
CD2	CD2	34752.5	57723.03	0.732013747087467	0.78947774497732	525.74	1024.44	0.961080154797127	110.23	169.3	0.614532483159782
CD29	ITGB1	3278.71	2754.73	-0.25113371077975	0.187847724263109	184.79	96.26	-0.933754355199985	127.29	126.27	-0.0115163308474324
CD303	CLEC4C	501.17	375.56	-0.415296085395902	0.0653540219640485	0.2	0	-0.263034405833794	3.68	3.67	-0.0030859798737426
CD49b	ITGA2	335.56	407.09	0.278023635435558	0.181068890540121	1.69	1.52	-0.0941824390567076	64.41	103.35	0.673847480953137
CD61	ITGB3	165.3	151.35	-0.126398668600784	0.0570094633610167	0	0.08	0.111031312388744	15.3	17.36	0.171694094295368
CD81	CD81	11272.88	10515.95	-0.100267744388604	0.41914167934243	124.75	162.97	0.382873483042289	24.87	25.79	0.0504145271576379
CD98	SLC3A2	1308.29	2281.07	0.801558364291113	0.647559555328234	86.54	143.61	0.724153031190959	99.65	99.06	-0.00848181481599942
CD177	CD177	146.94	149.6	0.0257095891116165	0.216404800827923	0	0	0	0.8	0.68	-0.0995356735509144
CD55	CD55	11563.17	11930.49	0.0451124949629282	0.39628310354721	133.04	100.82	-0.396642620940652	156.25	177.58	0.183510498312587
IgD	IGHD	381.71	534.64	0.485012102534236	0.270002218132947	0.3	0.47	0.17730453180791	NA	NA	NA
CD18	ITGB2	11791.9	11285.91	-0.063267960295747	0.362577898142121	51.85	27.28	-0.902121351460646	128.17	111.57	-0.198448640829919
CD28	CD28	12717.35	1489.47	-3.09307227409551	-1.36342039387819	77.46	98.68	0.345346732946906	168.82	214.57	0.344150040430691
TSLPR	CRLF2	7.86	19.15	1.18540123486031	0.190092281700213	0	0.08	0.111031312388744	32.24	35.69	0.142466522478198
CD38-1	CD38	4681	5366.65	0.197165668584729	0.41720780319961	5.9	23.65	1.83691937959974	38.29	58.02	0.587041752973321
CD127	IL7R	15497.28	4516.94	-1.77837109758559	-0.78576093257354	1476.99	297.94	-2.30570865185754	201.31	183.22	-0.135137935428899
CD45-2	PTPRC	27609.66	26554.08	-0.0562374985384587	0.507240756506647	1576.48	962.49	-0.711280116114619	409.42	417.81	0.0291948541553438
CD15	FUT4	486.96	417.3	-0.22222489126761	0.167481330135637	2.33	2.93	0.239007135187344	28	28.33	0.0163241708546587
CD22	CD22	1657.37	2477.51	0.57970715626857	0.250289336098079	0.2	0.08	-0.15200309344505	12.14	15.32	0.312675781649166
CD71	TFRC	4523.88	51377.85	3.50522316163125	1.10144555263851	16.82	82.75	2.23259185359794	60.24	63.73	0.0799602210358301
B7-H4	VTCN1	386.49	278.2	-0.472860137519139	0.00944049962068967	0	0	0	10.41	11.95	0.182653306285234
CD26	DPP4	8077.66	9811.22	0.280463566651016	0.562647387966396	35.58	40.6	0.185528453279738	189.01	200.14	0.0821246659560938
CD193	CCR3	496.27	477.38	-0.0558723219045303	0.226198891619159	0.05	0.04	-0.0138057995250304	31.72	42.38	0.406857304730525
CD115	CSF1R	287.08	115.7	-1.30366494359557	-0.242535182524485	0.6	0.04	-0.62148837674627	15.22	19.37	0.328672160748615
CD204	MSR1	444.58	349.63	-0.345735039539432	0.0831075780297458	0.05	0	-0.070389327891398	79.35	71.65	-0.145335226042252
CD144	CDH5	1541.68	1112.93	-0.469780257202022	0.0266294982634505	0	0	0	7.29	6.21	-0.201372842254928
CD301	CLEC10A	366.81	278.53	-0.39595757845722	0.0712615804102449	0	0	0	4.89	3.49	-0.391552189089314
CD1a	CD1A	649.93	429.84	-0.59535020791614	-0.0639540624004657	0	0	0	0.4	0.5	0.0995356735509144
CD207	CD207	495.07	366.54	-0.432642442965556	0.0542051614104658	0	0	0	0.8	1.54	0.496831590442491
CD63	CD63	1743.63	3452.77	0.985250908336901	0.651706145619259	124.6	235.1	0.910561577337015	27.72	34.07	0.288181681429761
CD284	TLR4	384.73	276.45	-0.475363552384183	0.039445996723535	0.05	0	-0.070389327891398	1.72	1.77	0.0262793247988491
CD304	NRP1	1678.75	1396.07	-0.265842221671927	0.126643915065627	0.5	0.16	-0.370837695368309	99.53	103.06	0.0497895200510653
CD36	CD36	112.99	115.5	0.0314226882369675	0.11455980575321	0.25	0.23	-0.0232697793228472	56.07	57.16	0.0272947062431439
CD172a	SIRPA	1629.39	1156.1	-0.494703556070403	0.00830325183886621	0.2	0.04	-0.206450877467426	6.33	11.3	0.74677321209279
CD85g	LILRA4	359.45	317.08	-0.180409487176099	0.129944705601667	0	0.04	0.0565835283663675	0.6	0.98	0.307428525192247
CD38-2	CD38	2809.98	3301.21	0.232358680549951	0.399050543130243	5.9	23.65	1.83691937959974	38.29	58.02	0.587041752973321
CD243	ABCB1	694.32	579.93	-0.259312752945874	0.143956671070877	13.65	5.27	-1.22436331650757	123.72	119.76	-0.0465501711841595
CD72	CD72	1190.09	1693.88	0.508900703184456	0.212159589432922	0.65	0.86	0.172836596862216	85.71	78.13	-0.131973627439513
CD158	KIR2DL1	369.76	375.07	0.0205156187117682	0.114620779132735	0.79	0.27	-0.495131090492091	1.12	2.01	0.505699222196503
MERTK	MERTK	3059.47	1686.04	-0.859259045745642	-0.246347290433559	0.15	0.23	0.0970244543948647	36.45	52.58	0.516728862496265
Folate-Receptor	FOLR2	438.74	313.9	-0.481757012686797	0.024743289290085	0	0	0	1.68	1.83	0.07856905237411
TIM-4	TIMD4	311.04	286.08	-0.120278152312316	0.152465084644618	0.69	4.1	1.59347400057667	39.65	88.63	1.14072634434826
CD171	L1CAM	512.61	381.81	-0.424044774753568	0.0635020063140127	0.3	0.2	-0.115477217419936	28.32	25.73	-0.133425265890734
CD325	CDH2	2486.93	1705.8	-0.543651878951279	-0.0672714532882128	0.05	0.04	-0.0138057995250304	36.41	37.7	0.0489096004809465
CD93	CD93	4659.31	3707.08	-0.32975355522843	0.0659282448466291	0.15	0	-0.20163386116965	3.72	3.64	-0.0246620542342692
CD200	CD200	1595.5	1430.05	-0.157838473092302	0.199148818232362	0.79	4.25	1.55235783528923	29.96	36.28	0.26799638850987
CD338	ABCG2	740.22	546.44	-0.437200956986486	0.0259164992879478	0.4	0.47	0.070389327891398	38.01	45.81	0.262972766687392
C5L2	C5AR2	286.27	242.43	-0.238900363226661	0.10597489617846	0.94	0.47	-0.400240497350763	4.49	4.2	-0.0782945259767442
CD235a	GYPA	394.73	296.42	-0.412014774463477	0.0416940309726321	0	0	0	2.32	3.4	0.406320282177735
CD49a	ITGA1	2723.59	2248.03	-0.276736242040976	0.198437810486253	9.53	5.62	-0.669602314218499	132.02	123.52	-0.0952656941192839
CD49d	ITGA4	10521.34	8308.56	-0.340611580694633	0.140434764116602	155.27	96.92	-0.674365379779207	152.32	144.34	-0.0771140918162355
CD73	NT5E	5475.98	5592.7	0.030422269446076	0.349996842043564	3.47	1.68	-0.738041830725546	51.35	57.87	0.169343090494578
CD79a	CD79A	1061.07	814.06	-0.381900684676919	0.0463065767161455	3.77	1.83	-0.753187213173629	38.93	21.32	-0.83913604480386
CD9	CD9	979.83	576.13	-0.76510678026191	0.0021491432059188	4.27	1.87	-0.876752224961527	38.25	30.31	-0.326069145527682
TCR-V-7.2	TRA	593.03	257.82	-1.19858668843339	0.0111751333266214	NA	NA	NA	NA	NA	NA
TCR-V-2	TRD	1874.91	558.77	-1.74468453863943	0.0012873529596948	NA	NA	NA	NA	NA	NA
TCR-V-9	TRG	535.25	234.71	-1.18589277636872	-0.128846636617377	NA	NA	NA	NA	NA	NA
TCR-V-24-J-18	TRAV24	601.77	411.5	-0.54721349610373	-0.0258272548488451	1.14	0.31	-0.708043984863696	NA	NA	NA
CD354	TREM1	1374.37	1381.49	0.00744926248102879	0.183438783216346	0.05	0	-0.070389327891398	6.85	7.48	0.11137161078421
CD202b	TEK	1427	988.94	-0.528582987774897	-0.0621776591938303	0	0	0	15.54	16.68	0.0961590402201569
CD305	LAIR1	4158.64	4509.18	0.11672633782342	0.399066446235145	6.7	0.94	-1.98880179339514	27.68	16.74	-0.693039014400841
LOX-1	OLR1	980.78	573.02	-0.774298773482947	-0.144250787464696	0.45	0.12	-0.37255416795733	6.53	4.79	-0.379086516682692
CD158b	KIR2DL2	558.83	465.45	-0.263266356589816	0.130190891437483	NA	NA	NA	NA	NA	NA
CD203c	ENPP3	696.52	512.54	-0.441757930473909	0.0144716980231842	0.05	0	-0.070389327891398	58.84	62.78	0.0919939223646243
CD133-2	PROM1	890.11	691.05	-0.364727256185089	0.0825759414736832	0	0	0	44.3	45.87	0.0491537445454268
CD209	CD209	2037	1419.47	-0.520785689042281	0.0201016469944335	0.15	0	-0.20163386116965	1.36	3.55	0.947079685724217
CD110	MPL	591.33	618.85	0.0655179773490191	0.360525698261375	0	0	0	11.5	12.54	0.115299644025547
CD158e1	KIR3DL1	3806.67	2889.26	-0.397709170239676	0.0319507015079202	0.55	0.27	-0.287439718502072	3.81	4.11	0.0872863971675793
CD158f	KIR2DL5A	309.78	233.56	-0.405936654655363	0.0606455313001222	NA	NA	NA	NA	NA	NA
CD337	NCR3	640.31	534.76	-0.259435030251778	0.0966544674797944	11.31	9.33	-0.252990507619398	11.58	12.45	0.0964742505646971
