Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD146	MCAM	424.88	438.55	0.0455803049292644	0	0.45	0.53605290024021	23.55	22.29	-0.0760123849911893
CD324	CDH1	874.1	611.24	-0.515350582183068	0.27	0.23	-0.0461701814329261	29.67	65.43	1.11500674781169
IgM	IGHM	1789	1469.72	-0.28343697928023	1830.39	599.39	-1.60896719712046	NA	NA	NA
TCRgd	TRD/TRG	643.31	614.97	-0.0648948981644902	NA	NA	NA	NA	NA	NA
CD195	CCR5	969.43	692.17	-0.485414933975726	2.72	1.59	-0.522350523421478	3.85	16.95	1.88792719163592
CD196	CCR6	6861.79	3404.25	-1.01103449008252	29.42	8.61	-1.66241181695075	274.71	168.68	-0.7003350688562
CD185	CXCR5	2929.55	2282.75	-0.359766723442614	58.3	57.31	-0.0242887820102141	119.81	124.39	0.0536824179836015
CD103	ITGAE	890.22	819.78	-0.118786031645542	46.31	55.5	0.256105706678246	94.44	126.39	0.416586083634892
CD69	CD69	14980.72	104937.12	2.80826367968359	71.1	94.01	0.398080108621161	74.51	87.34	0.226399115158017
CD161	KLRB1	156.03	233.74	0.580023492918681	23.16	6.34	-1.71876848648187	4.08	3.43	-0.197521798217148
CD152	CTLA4	260.27	280.42	0.107183383372252	0.54	9.06	2.70762804911063	2.04	20.95	2.85207771097914
CD223	LAG3	641.6	742.05	0.20953831249157	1.36	15.86	2.83674577158024	6.11	10.86	0.738182544926588
CD27	CD27	7713.6	6863.88	-0.168356853488546	119.59	66.6	-0.835015124203521	57.3	47.91	-0.253366418750069
CD107a	LAMP1	1782.49	2480.29	0.476387232961121	54.21	47.8	-0.178048453341691	33.97	39.53	0.212872379349124
CD95	FAS	3158.28	7580.37	1.26286277016363	48.22	87.89	0.852776469224279	108.71	117.34	0.10924276768749
CD134	TNFRSF4	533.58	3204.06	2.58387359611715	41.68	256.43	2.59254810876083	6.34	11.43	0.759974328209272
HLA-DR	HLA-DRA	47443.41	35758.41	-0.407915182430147	2721.47	1488.95	-0.869652234098715	27.18	23.43	-0.20601774804238
CD1c	CD1C	1912.11	1409.55	-0.439662021868806	7.63	4.98	-0.52921507498085	8.38	6.86	-0.25505861025677
CD11b-2	ITGAM	1427.57	985.19	-0.534634201084733	1.36	0.68	-0.490325626583081	40.54	43.15	0.0879122216911806
CD64	FCGR1A	1147.06	1038.26	-0.143641412248754	0	0	0	0.23	0.57	0.352106243552387
CD141	THBD	710.87	884.03	0.314112555562612	0	0	0	0	1.05	1.03562390973072
CD1d	CD1D	1263.65	644.96	-0.969221428749399	0.27	0	-0.344828496997441	37.59	25.05	-0.566943671375384
CD314	KLRK1	4202.8	4078.15	-0.0434254738525997	1.91	0.23	-1.24236083756904	14.49	16.1	0.142659180983692
CD66b	CEACAM8	329.2	232.68	-0.498805856971442	0	0.23	0.298658315564515	3.85	1.62	-0.88841793553704
CD35	CR1	98658.23	76166.46	-0.373279241528329	3	0.45	-1.46394709975979	49.15	38.67	-0.338201303354262
CD57-Recombinant	B3GAT1	1137.12	1186.28	0.0610075312890031	0.27	0	-0.344828496997441	1.81	5.05	1.10636501194103
CD366	HAVCR2	578.5	669.46	0.210342601512409	2.18	5.66	1.06649541178691	94.89	97.72	0.0419620245270152
CD272	BTLA	1955.66	1016.43	-0.943463547790123	38.14	10.87	-1.7213238209849	163.97	123.15	-0.410119430917995
CD278	ICOS	2568.11	15012.72	2.54694091500422	5.72	21.97	1.77321771859916	2.04	19.91	2.78204983314599
CD275-2	ICOSLG	12317.28	1412.57	-3.12338559443193	12.8	3.17	-1.72654897822087	NA	0	NA
CD96	CD96	844.61	774.88	-0.124158899829775	43.86	21.52	-0.994222793006043	210.17	270.88	0.364565136059777
CD39	ENTPD1	8014.34	5885.96	-0.44524089383631	48.49	38.96	-0.308580459074585	378.21	317.45	-0.251930137525374
CD178	FASLG	369.67	347.51	-0.0889353032705787	1.63	10.65	2.14719525024934	10.87	27.72	1.27473581418114
CX3CR1	CX3CR1	895.7	797.24	-0.167802823278188	0.54	0.68	0.125530882083859	13.36	15.91	0.235820910586932
CD24	CD24	3472.05	1886.97	-0.879367340388622	41.14	12.23	-1.67137725253863	52.77	33.81	-0.627299657551785
CD21	CR2	25215.46	15954.61	-0.660301992423574	3	2.04	-0.395928676331139	53.67	39.62	-0.428559135903431
CD79b	CD79B	3939.1	2826.55	-0.47867971000421	316.01	67.5	-2.21035245734563	46.2	23.62	-0.938956097764746
CD66a/c/e	CEACAM1	530.15	573.26	0.112584730052291	2.72	2.04	-0.291231297664446	25.14	20.19	-0.302875553423263
CD244	CD244	1543.47	1283.01	-0.266455409769516	1.09	0.91	-0.129930304045134	36.69	37.53	0.0318003909951935
CD235ab	GYPA	228.04	162.75	-0.484104668799816	1.09	0	-1.06350294230616	2.26	5.71	1.04144080196911
Siglec-8	SIGLEC8	937.2	532.97	-0.81313681148104	0	0	0	0.45	1.81	0.954517230205992
CD206	MRC1	357.66	312.37	-0.194749783711374	0.54	0	-0.622930350920177	9.96	18.86	0.857617824567847
CD169	SIGLEC1	240.04	186	-0.366234307932102	0	0	0	2.26	3.24	0.379192300332122
CD370	CLEC9A	305.2	280.95	-0.119034939886417	0	0	0	5.21	8.29	0.581085328162172
XCR1	XCR1	225.64	169.85	-0.407672259061468	0	0	0	1.13	3.43	1.05645326832918
Notch1	NOTCH1	803.8	1646.31	1.03340986477079	10.35	19.03	0.819470123634431	79.49	104.86	0.395276098653198
integrin-7	ITGB7	6386.16	4672.53	-0.450661936049602	20.7	18.12	-0.182612519351093	61.83	60.58	-0.0289917127012874
CD268	TNFRSF13C	22237.21	11725.43	-0.923276801758967	167.54	48.02	-1.78164864098071	48.24	41.24	-0.221220927126004
CD42b	GP1BB	546.61	500.49	-0.126927859184985	0	0	0	1.13	1.52	0.242570303274078
CD54	ICAM1	2821.87	8406.36	1.57449015936719	18.52	48.7	1.34829279888676	72.7	91.43	0.326696563778075
CD62P	SELP	1223.19	977.03	-0.323876864349894	0.27	0	-0.344828496997441	29.89	43.43	0.524394270382366
CD119	IFNGR1	3433.98	1204.21	-1.51101715046631	45.77	34.88	-0.38240353849968	78.13	67.34	-0.211494509456896
TCRab	TRA	1259.88	238.89	-2.39398605442635	NA	NA	NA	NA	NA	NA
Notch3	NOTCH3	475.97	367.74	-0.37129460294216	0.54	0.45	-0.086877450679967	8.61	8.76	0.022344716789136
CD68	CD68	316.17	229.84	-0.458363081899772	4.09	2.94	-0.369470026619319	19.7	27.24	0.448109320884493
Rat-IgG1k-isotypeCtrl	NA	1438.54	653.66	-1.13679013966522	NA	NA	NA	NA	NA	NA
Rat-IgG1l-IsotypeCtrl	NA	675.21	317.34	-1.08690290578435	NA	NA	NA	NA	NA	NA
Rat-IgG2c-IsotypeCtrl	NA	336.4	160.97	-1.05873335100452	NA	NA	NA	NA	NA	NA
CD192	CCR2	774.99	679.22	-0.190036635708848	0.82	1.36	0.374848409163145	11.32	16.19	0.48056728878316
CD102	ICAM2	4241.55	2990.55	-0.50403848652613	40.05	30.58	-0.37837105080493	77.23	56.48	-0.444661903172107
CD106	VCAM1	604.56	466.95	-0.371915524394343	0	0	0	3.62	4.67	0.295455883526171
CD122	IL2RB	649.83	511.32	-0.345235540584654	10.9	34.66	1.58334512942969	35.33	99.05	1.46148789637762
CD267	TNFRSF13B	525.35	469.44	-0.162011715352835	151.19	100.58	-0.583257187235498	79.49	80.86	0.0243491114614075
CD62E	SELE	213.64	237.47	0.151888824031157	0	0	0	5.44	7.33	0.371255807250931
CD135	FLT3	175.92	179.43	0.0283420873243848	0	0	0	121.16	90.39	-0.418663749583224
CD41	ITGA2B	306.57	262.49	-0.223166581871295	0	0.68	0.748461233004036	12.23	15.14	0.286827516999104
CD137	TNFRSF9	545.58	1240.59	1.18368426690201	17.71	44.85	1.29311217524163	12.46	21.81	0.76098803670182
CD43	SPN	2516.33	1621.28	-0.633871508334723	23.16	16.54	-0.461971706880346	20.16	21.05	0.0594390283308572
CD163	CD163	692.01	581.25	-0.251237435886404	0	0	0	2.04	2.29	0.114016260291656
CD83	CD83	2818.79	4288.64	0.605268853440203	599.6	605.05	0.0130323481370776	155.36	164.68	0.0835279689312212
CD357	TNFRSF18	563.41	528.54	-0.0920038837169191	126.4	148.37	0.229525143643543	21.29	22.95	0.10362903936379
CD59	CD59	705.04	705.84	0.00163376388094369	46.58	50.06	0.101838265981984	104.4	107.82	0.0460688665352733
CD309	KDR	127.57	118.73	-0.102769364667775	0	0.23	0.298658315564515	2.72	3.43	0.252004077446987
CD124	IL4R	359.04	236.76	-0.598651176109926	56.12	33.3	-0.735787402968925	58.88	81.91	0.469471898181597
CD13	ANPEP	1567.14	1220.71	-0.36015249567225	0.54	0	-0.622930350920177	7.02	9.33	0.365166112410139
CD184	CXCR4	14852.47	3053.55	-2.2817682450114	613.76	63.43	-3.25421879775429	139.96	73.91	-0.912055602271045
CD2	CD2	4327.28	23069.27	2.41416915209211	91.26	377.39	2.03609676446701	4.08	41.34	3.05912086723542
CD29	ITGB1	2947.38	3378.7	0.196972713759204	155.55	95.82	-0.693246509165177	114.37	137.25	0.261011355938999
CD303	CLEC4C	213.3	188.48	-0.177586272982517	0	0	0	3.17	4.76	0.466021427997649
CD49b	ITGA2	191.69	284.5	0.567209043309746	1.36	0.91	-0.305214221326093	18.12	53.24	1.5042746551556
CD61	ITGB3	131.34	108.8	-0.269371130324226	0	0.23	0.298658315564515	53	57.72	0.120892560905019
CD81	CD81	9582.85	8629.99	-0.151079277936793	181.43	193.23	0.0904230555959001	94.67	56.29	-0.739783260541219
CD98	SLC3A2	1467	2073.33	0.498793458993903	78.18	119.38	0.604387749371232	89.23	97.44	0.125637472038905
CD177	CD177	237.3	197	-0.267278521223299	0	0	0	0	0.19	0.250961573533219
CD55	CD55	16822.53	13647.54	-0.301733818431324	100.8	67.05	-0.581070494571701	183.44	164.49	-0.156407528369477
IgD	IGHD	8267.41	6663.15	-0.311189054504954	236.73	109.64	-1.10345091202103	NA	NA	NA
CD18	ITGB2	7019.19	7388.34	0.0739354343959268	28.6	26.28	-0.11775353149214	85.38	110.77	0.371763787103336
CD28	CD28	3133.24	713.12	-2.13387722762642	12.53	25.37	0.962735731888023	4.53	43.72	3.01556880260848
TSLPR	CRLF2	6.17	22.36	1.70399525017811	0	0	0	9.29	16	0.724291764131096
CD38-1	CD38	5680.1	5196.81	-0.128266399139027	33.24	28.09	-0.235159405300841	67.04	87.72	0.382876224498325
CD127	IL7R	3777.93	1766.82	-1.09600640817074	256.35	68.41	-1.89051634847405	12	55.53	2.1205050737396
CD45-2	PTPRC	21133.7	18948.53	-0.157451567869969	572.63	352.02	-0.700370556551461	292.15	302.12	0.0482499882248731
CD15	FUT4	649.14	510.79	-0.34519846054544	1.09	2.27	0.6457876934172	31.71	30.48	-0.0552962185752919
CD22	CD22	75748.21	50272.95	-0.591419797238713	34.32	16.08	-1.04817736802798	108.26	106.01	-0.0300197065100262
CD71	TFRC	31051.58	73243.89	1.23801497246716	31.6	86.99	1.43246760735967	52.32	59.53	0.182973570621225
B7-H4	VTCN1	200.95	162.04	-0.308772189424635	0	0	0	4.76	8.19	0.673996049846722
CD26	DPP4	1811.98	4113.64	1.18240320123066	9.26	17.9	0.881355503501381	58.2	94.77	0.693976625938201
CD193	CCR3	507.52	408.92	-0.310962135342497	0	0	0	79.49	90.01	0.177215519198089
CD115	CSF1R	206.78	106.67	-0.948440464381151	0	0.45	0.53605290024021	32.61	31.81	-0.0347549487895819
CD204	MSR1	224.61	202.68	-0.147526691215791	0	0	0	82.21	65.53	-0.32275188507269
CD144	CDH5	814.77	623.49	-0.385483982846488	0	0	0	2.49	4.57	0.674450291130379
CD301	CLEC10A	196.49	184.58	-0.0897383643292224	0	0	0	2.49	2.19	-0.129670612444783
CD1a	CD1A	365.55	288.23	-0.341792803851285	0.54	0	-0.622930350920177	2.26	2.1	-0.0726037489568399
CD207	CD207	218.1	207.65	-0.0705045637268271	0	0	0	0.91	1.33	0.286757316618531
CD63	CD63	4509.03	7541.86	0.741974618798969	252.81	316.68	0.323825354139588	45.97	39.62	-0.209549353961635
CD284	TLR4	158.77	151.92	-0.0632194336791053	0.54	0	-0.622930350920177	31.03	16.95	-0.83543995406427
CD304	NRP1	663.55	1117.77	0.751463817880819	0.27	0	-0.344828496997441	16.08	38.76	1.2190097819418
CD36	CD36	96.36	80.04	-0.26469499391259	0.27	0.23	-0.0461701814329261	40.99	40.57	-0.0145030402106447
CD172a	SIRPA	1535.93	897.34	-0.774717979814673	8.99	6.57	-0.400191377806687	52.54	58.29	0.147171657749025
CD85g	LILRA4	379.27	271.37	-0.481456319869236	8.45	12.46	0.510292175501882	18.57	14.1	-0.374095206414363
CD38-2	CD38	3804.68	3108.57	-0.291439163667734	33.24	28.09	-0.235159405300841	67.04	87.72	0.382876224498325
CD243	ABCB1	397.44	408.21	0.0384789120948638	8.17	2.49	-1.3936946973854	118.45	111.91	-0.0812335881304479
CD72	CD72	61350.8	39657.13	-0.629489019963933	37.05	22.65	-0.68605627016415	190.69	134.58	-0.499630701184536
CD158	KIR2DL1	624.8	454.35	-0.458725774465522	0	0.23	0.298658315564515	0.91	0.95	0.0299014857138617
MERTK	MERTK	1731.05	926.63	-0.900859194401717	0	0.23	0.298658315564515	46.88	50	0.0910740948027182
Folate-Receptor	FOLR2	335.37	321.77	-0.0595425480438884	0.82	0.23	-0.565280134859456	5.21	3.24	-0.550529003657282
TIM-4	TIMD4	331.94	263.2	-0.333631742238098	0.27	2.72	1.55047412433587	23.1	44.38	0.913023462555013
CD171	L1CAM	604.22	595.8	-0.0202121278109078	0.54	0.23	-0.324272035355662	30.35	32.48	0.0948340848609423
CD325	CDH2	1535.93	1075.18	-0.514132057741592	0	0	0	33.07	30.48	-0.11406640658886
CD93	CD93	3149.36	3228.02	0.035579678162135	0	0.23	0.298658315564515	0.68	1.81	0.742108897442166
CD200	CD200	3106.84	2437.34	-0.350012923697608	32.69	13.36	-1.23026467929871	50.05	44.86	-0.15467460618437
CD338	ABCG2	465.68	406.43	-0.195881427465213	0	0.45	0.53605290024021	31.48	37.34	0.239298704482974
C5L2	C5AR2	269.88	194.7	-0.469010122381476	1.09	1.81	0.427067188140043	2.72	3.33	0.219064403618693
CD235a	GYPA	217.41	197.36	-0.138917781746728	1.09	0	-1.06350294230616	2.26	5.71	1.04144080196911
CD49a	ITGA1	1393.96	2124.44	0.607537779204268	6.27	13.14	0.959754850889805	100.55	134.58	0.416954136267213
CD49d	ITGA4	15244.77	14177.5	-0.104704104478304	107.88	91.74	-0.231475340129469	179.37	158.96	-0.173248216354975
CD73	NT5E	32071.07	19381.22	-0.726583647840007	10.9	0.91	-2.63931703015956	92.63	81.72	-0.178734672325432
CD79a	CD79A	920.74	801.32	-0.200182098749491	595.24	194.36	-1.60975805933405	88.55	62.86	-0.48778087930323
CD9	CD9	848.38	741.16	-0.194679891960953	5.18	0.91	-1.69403419986863	21.52	19.91	-0.10701376549065
TCR-V-7.2	TRA	407.39	307.57	-0.404349734184198	NA	NA	NA	NA	NA	NA
TCR-V-2	TRD	1217.36	688.45	-0.821422648438719	NA	NA	NA	NA	NA	NA
TCR-V-9	TRG	239.7	168.25	-0.508080308012138	NA	NA	NA	NA	NA	NA
TCR-V-24-J-18	TRAV24	249.64	211.02	-0.241416313146949	0	0.23	0.298658315564515	NA	NA	NA
CD354	TREM1	1304.8	1381.51	0.0823559692542326	0	0.23	0.298658315564515	9.06	9.52	0.064504399486775
CD202b	TEK	796.26	571.84	-0.476918052311657	0	0	0	9.29	13.24	0.468706164072429
CD305	LAIR1	10909.6	8847.76	-0.302183235271742	4.09	1.59	-0.974713558389141	28.31	20.76	-0.429714411439202
LOX-1	OLR1	567.53	329.05	-0.784551880702656	0.27	0.23	-0.0461701814329261	6.57	4.76	-0.394224488543419
CD158b	KIR2DL2	683.44	535.81	-0.350512529058366	NA	NA	NA	NA	NA	NA
CD203c	ENPP3	398.13	327.98	-0.278858841436845	0	0.23	0.298658315564515	128.64	133.15	0.0493361288300432
CD133-2	PROM1	407.04	349.1	-0.220943524187723	0	0	0	18.8	30.95	0.690315500867385
CD209	CD209	478.03	503.51	0.0747668557650735	0.27	0	-0.344828496997441	9.29	12.38	0.378835133747493
CD110	MPL	888.16	813.57	-0.126404366395561	0	0	0	16.53	13.81	-0.24325435547069
CD158e1	KIR3DL1	1634.69	1707.54	0.0628646731864585	0.82	0.68	-0.115477217419936	1.36	1.52	0.094636874138075
CD158f	KIR2DL5A	150.2	136.66	-0.135348724493731	NA	NA	NA	NA	NA	NA
CD337	NCR3	316.17	314.14	-0.00926343405923354	8.17	8.83	0.100269682745526	14.49	12.29	-0.220996039513394
CD253	TNFSF10	237.99	449.2	0.913615803658163	65.93	158.57	1.2534645233757	76.55	97.05	0.338390849156058
CD186	CXCR6	375.84	340.94	-0.140208910648665	2.45	2.94	0.191599267790845	6.11	15.72	1.23365338246147
CD226	CD226	1609.66	2135.98	0.407921423365591	7.63	35.34	2.07412595505516	45.75	183.44	1.98011330074957
CD205	LY75	3761.81	3431.41	-0.132588551068409	17.43	24.69	0.479150819270104	166.46	202.68	0.282487794114134
CCR10	CCR10	1120.66	863.62	-0.375497315874824	3.54	0.23	-1.88403398195168	21.29	14.86	-0.491003845555774
CD271	NGFR	664.23	689.16	0.0530776295136757	0	0	0	19.25	17.52	-0.128837809399113
CD109	CD109	1971.44	1708.96	-0.206018837847436	0.54	2.27	1.08636028480318	35.56	47.72	0.414248062848263
CD11a/CD18	ITGAL	275.71	353.9	0.359037792071089	32.69	42.13	0.356371287612743	45.97	76.39	0.720407566023821
CD126	IL6R	489.34	373.95	-0.387084232341278	9.81	7.25	-0.389900498601472	50.05	73.24	0.540285749362408
GP130	IL6ST	325.09	224.34	-0.533166771089606	34.32	24.24	-0.484773432665917	91.95	85.72	-0.100090108452972
CD164	CD164	560.33	574.33	0.0355405345825262	146.83	131.38	-0.159253897755234	102.14	99.53	-0.03697785827359
CD142	F3	690.29	2310.26	1.74131660036932	0.27	0	-0.344828496997441	12.23	14.95	0.269743362373555
CD307c/FcRL3	FCRL3	2742.32	1231.54	-1.15428845043599	64.29	16.31	-1.91525631675799	55.26	52	-0.0861171929767758
CD307d	FCRL4	260.62	291.07	0.15884134480207	5.99	15.86	1.27024017556665	65.9	71.72	0.120345988665284
CD307e	FCRL5	1045.56	935.14	-0.160858818152501	26.15	2.72	-2.86757767158369	22.87	18.76	-0.272615619497099
CD319	SLAMF7	421.79	1027.26	1.28219194332598	43.59	72.26	0.716305501394655	21.29	43.34	0.992212153607555
CD138-2	SDC1	474.6	381.58	-0.313987258689134	0	0	0	3.62	7.62	0.899795017673041
CD199	CCR9	604.22	463.05	-0.383179403599157	5.18	0	-2.62760683812965	9.51	10.1	0.0787970072752899
CD45RB	PTPRC	5051.53	3388.99	-0.575724965186705	572.63	352.02	-0.700370556551461	292.15	302.12	0.0482499882248731
CD99	CD99	4000.14	3885.05	-0.0421066459767995	97.25	67.5	-0.52035341929808	159.66	128.87	-0.30694257524325
CLEC12A	CLEC12A	469.8	425.07	-0.144023846834677	0.27	0	-0.344828496997441	17.89	23.91	0.399102319852467
CD46	CD46	3395.58	2021.5	-0.747943131876692	104.34	84.95	-0.293483819788533	52.32	52.67	0.00943910768409125
VEGFR3	FLT4	215.35	206.94	-0.0571998144593778	0.27	0	-0.344828496997441	1.81	7.33	1.56774636514462
CLEC1B	CLEC1B	759.22	666.26	-0.18816795865922	0	0	0	3.85	5.71	0.468328019125694
