Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD57-Recombinant	B3GAT1	1213.4	1026.44	-0.241189549384753	0.87	0.13	-0.726715497472449	8.98	10.88	0.251423115463505
CD366	HAVCR2	1565.71	1294.58	-0.274140057460366	28.99	34.29	0.234777907910984	161.61	142.1	-0.184392309252382
CD272	BTLA	246.63	262.48	0.0895073497741102	3.24	3.64	0.130060540564373	21.25	43.94	1.01419478843878
CD278	ICOS	5386.09	29676.18	2.46177593694282	9.73	49.27	2.22804761293885	14.96	35.23	1.18272415423094
CD275-2	ICOSLG	8622.89	1560.29	-2.46560024232776	16.98	7.02	-1.16471887905953	NA	0	NA
CD96	CD96	1173.26	1229.57	0.0675748470540393	53.54	37.53	-0.501332514255713	109.23	208	0.922986023650511
CD39	ENTPD1	19133.85	7135.7	-1.42287355821689	22.93	11.07	-0.987394720783477	187.04	161.1	-0.214155494788833
CD178	FASLG	471.22	468.98	-0.00685978132057647	4.65	22.41	2.05080216180946	16.76	37.21	1.10531867600741
CX3CR1	CX3CR1	1038.84	708.53	-0.551425968194791	3.46	1.48	-0.846703589533429	46.69	49.87	0.0931283114682713
CD24	CD24	1286.39	817.64	-0.653148101750224	1.08	1.08	0	4.79	3.76	-0.282601774681293
CD21	CR2	659.31	2020.77	1.61440348314752	0.32	0.27	-0.0557094325862877	8.08	14.84	0.802808132788695
CD79b	CD79B	986.08	1089.56	0.143830224965239	10.06	15.79	0.602250844702323	8.38	10.49	0.292718970130737
CD66a/c/e	CEACAM1	491.44	327.89	-0.582342810799253	4.65	1.35	-1.26559011073755	23.94	29.69	0.299307180636815
CD244	CD244	5474.59	3014.97	-0.860392346723918	1.41	0.54	-0.64610279553506	46.69	56.4	0.267363954168693
CD235ab	GYPA	191.74	142.16	-0.42902756133998	0.11	0.13	0.0257630960650815	4.19	4.35	0.0438043529306283
Siglec-8	SIGLEC8	1052.68	707.99	-0.571599606465141	0.11	0.13	0.0257630960650815	3.89	3.56	-0.100800640787492
CD206	MRC1	906.55	662.26	-0.452402606054697	341.91	47.11	-2.83342127247349	103.55	70.46	-0.548985242891671
CD169	SIGLEC1	463.62	337.74	-0.455872900578748	2.16	0.4	-1.17449773123214	9.58	9.1	-0.0669843344748686
CD370	CLEC9A	596.36	434.45	-0.456093563467012	0.11	0.13	0.0257630960650815	20.95	16.43	-0.332648370297036
XCR1	XCR1	338.47	232.53	-0.539676189745999	0.76	0.13	-0.63925265622211	20.65	18.8	-0.128866594647115
Notch1	NOTCH1	1421.11	1708.53	0.265566678868083	20.12	31.32	0.613817363393341	105.04	122.7	0.222236924996473
integrin-7	ITGB7	3449.06	2561.78	-0.42891181519105	37.42	37.12	-0.0113093997555854	32.32	45.52	0.481462696107671
CD268	TNFRSF13C	1384.01	2274.48	0.716274513196367	5.08	7.29	0.447300778052165	6.58	8.91	0.386687209015396
CD42b	GP1BB	577.05	422.17	-0.449956934552926	0	0	0	2.39	2.37	-0.00853668195448538
CD54	ICAM1	19303.85	20956.05	0.118472307033041	119.95	113.93	-0.0736553377222511	73.32	92.03	0.323945524951126
CD62P	SELP	3511.41	1342.73	-1.38621797713647	0.11	0.13	0.0257630960650815	42.5	42.75	0.00826761598360057
CD119	IFNGR1	2471.96	895.06	-1.46457166119506	96.7	26.86	-1.81016330425449	72.72	65.71	-0.144153029663167
TCRab	TRA	1852.79	334.23	-2.46725465479158	NA	NA	NA	NA	NA	NA
Notch3	NOTCH3	1104.53	558.27	-0.983121325702553	9.73	0.81	-2.56758847367332	43.69	27.71	-0.638398714187828
CD68	CD68	457.53	336.12	-0.443753908086473	372.19	105.56	-1.80824434072654	54.17	40.18	-0.42194015050084
Rat-IgG1k-isotypeCtrl	NA	1557.96	743.05	-1.06711243315207	NA	NA	NA	NA	NA	NA
Rat-IgG1l-IsotypeCtrl	NA	554.54	291.61	-0.92491171762124	NA	NA	NA	NA	NA	NA
Rat-IgG2c-IsotypeCtrl	NA	341.97	164.01	-1.05552892975512	NA	NA	NA	NA	NA	NA
CD192	CCR2	845.88	598.46	-0.498494068543373	10.6	1.75	-2.07662128160291	23.94	25.53	0.0891632103990258
CD102	ICAM2	3327.73	2461.43	-0.434889141955323	27.58	38.88	0.48065949330238	40.4	48.29	0.251664213284543
CD106	VCAM1	1163.83	857.43	-0.440347016792377	1.73	2.02	0.145647598405227	8.38	6.73	-0.279119508590529
CD122	IL2RB	891.04	816.43	-0.126013211738749	31.58	80.18	1.31713773617218	38.9	84.11	1.09293990488581
CD267	TNFRSF13B	292.71	317.91	0.118756950402198	3.68	12.96	1.57671850662625	10.77	22.56	1.00122521879202
CD62E	SELE	349.88	390.75	0.158955557573711	0	0	0	6.58	11.48	0.719348180691157
CD135	FLT3	291.03	265.85	-0.130087572258678	8.65	4.32	-0.859102696654253	95.47	98.36	0.0425848071384511
CD41	ITGA2B	2266.68	550.04	-2.04098811810277	1.95	2.43	0.217493621923609	18.85	19.2	0.0252162856088368
CD137	TNFRSF9	889.22	2754.79	1.6302321358925	33.96	118.92	1.77829519844726	31.72	37.21	0.223777509415763
CD43	SPN	9361.88	5424.88	-0.787095226695928	91.4	55.75	-0.70327245923778	33.82	36.42	0.103893355589683
CD163	CD163	861.39	549.91	-0.646523798523614	23.26	11.2	-0.991698402670262	24.84	19.2	-0.355250777054768
CD83	CD83	1579.09	1787.03	0.178364207717419	227.69	230.69	0.0188024952658132	102.35	95.99	-0.0916304754655682
CD357	TNFRSF18	635.74	588.75	-0.110600883690883	83.29	274.83	1.71034598878532	15.26	22.76	0.547207578725738
CD59	CD59	1021.51	1048.56	0.0376696906798426	53.32	58.31	0.126791892205632	86.49	110.04	0.343889439826852
CD309	KDR	189.92	177.64	-0.0959130852297305	0.11	0.13	0.0257630960650815	10.47	7.92	-0.36274977609552
CD124	IL4R	396.1	329.78	-0.263630353599563	37.21	42.66	0.19236187263328	86.79	94.2	0.116904959194585
CD13	ANPEP	33034.87	12009.45	-1.45974313255703	257.65	58.45	-2.1212524764581	61.05	40.77	-0.570964066854926
CD184	CXCR4	2647.73	1548.69	-0.773321141519875	135.64	33.21	-1.99788987085259	46.69	46.9	0.00633887322918525
CD2	CD2	9090.92	22373.91	1.29922498432657	271.38	739.32	1.44252822930065	13.47	60.56	2.08892830979649
CD29	ITGB1	6799.29	3887.38	-0.80642705555287	325.79	165.49	-0.972928310349494	166.69	150.81	-0.14352983118827
CD303	CLEC4C	355.2	308.74	-0.201629810936591	0.97	0.4	-0.49276880251141	8.68	10.88	0.295455883526171
CD49b	ITGA2	898.19	794.17	-0.177362663019526	2.06	4.99	0.969024350096134	72.12	96.18	0.410393362059216
CD61	ITGB3	604.88	217.56	-1.47100269448217	1.08	3.51	1.11654390511429	46.09	66.7	0.523735111162831
CD81	CD81	8402.11	6773.54	-0.310800380761196	228.44	188.98	-0.272269381225447	37.71	31.27	-0.262512729805369
CD98	SLC3A2	6159.9	3644.59	-0.75698880058121	331.31	191.68	-0.786322878778261	90.68	99.94	0.138819042541522
CD177	CD177	180.95	206.5	0.189569285279983	0	0	0	5.09	2.18	-0.937415462621977
CD55	CD55	10235.28	9063.54	-0.175385801848674	64.57	57.64	-0.161150791390216	121.2	127.06	0.0675756299193522
IgD	IGHD	442.18	767.47	0.794096163856201	1.3	11.74	2.46965951131193	NA	NA	NA
CD18	ITGB2	26784.96	15548.98	-0.784564277901722	402.26	100.02	-1.99706936274598	178.96	161.89	-0.143778234116094
CD28	CD28	5785.39	1128.54	-2.3569282022364	23.15	61.15	1.36373120221671	13.77	64.12	2.14043087350146
TSLPR	CRLF2	33.6	27.38	-0.285897448463536	21.74	7.83	-1.36474691124378	49.08	42.35	-0.208202568823421
CD38-1	CD38	5562.17	5572.84	0.00276439740938779	13.74	40.09	1.47905080607259	65.54	71.25	0.118775721392537
CD127	IL7R	7863.38	2741.3	-1.51994662655266	764.29	390.51	-0.96695739067863	62.55	113.8	0.853158611670729
CD45-2	PTPRC	29445.01	22546.82	-0.385084203349761	918.21	527.79	-0.797699598859475	201.41	225.02	0.15916987144842
CD15	FUT4	671.93	484.35	-0.471430947646404	8.11	3.78	-0.930440435821302	34.12	34.24	0.00492107938505552
CD22	CD22	3841.37	8343.68	1.11886027685944	2.7	2.83	0.0498191214086448	69.13	46.31	-0.567886567161359
CD71	TFRC	20169.04	73473.23	1.86502438968777	42.4	113.39	1.39819398911543	42.5	52.64	0.302293836281021
B7-H4	VTCN1	271.72	209.2	-0.375657835290406	0	0	0	20.05	12.47	-0.644070382491455
CD26	DPP4	4496.12	6703	0.576020768011191	25.2	34.83	0.451601231785924	49.98	105.09	1.05728539634424
CD193	CCR3	736.71	1212.17	0.717656030383681	0	0	0	175.07	138.34	-0.337539645544509
CD115	CSF1R	980.76	231.72	-2.07677518640263	173.71	18.22	-3.18428194595148	255.87	152.39	-0.743833975007069
CD204	MSR1	375.73	437.28	0.218321922507079	14.82	22.54	0.573364720565652	214.28	142.1	-0.589190624026387
CD144	CDH5	987.29	827.22	-0.254920401215324	0	0	0	19.15	19	-0.0107798387532426
CD301	CLEC10A	396.56	280.01	-0.500551138259517	3.79	0.81	-1.40403595865297	9.28	8.91	-0.0528833020073897
CD1a	CD1A	614.61	467.36	-0.394398798457077	1.62	0.27	-1.04473831476528	3.89	2.18	-0.620807699667879
CD207	CD207	350.94	303.08	-0.210878563661677	1.62	0	-1.38956681176273	6.58	8.31	0.296583319387702
CD63	CD63	7112.07	8452.67	0.249105434761916	1927.92	940.85	-1.03422409216607	61.95	54.42	-0.183799667124962
CD284	TLR4	299.7	230.78	-0.375568784508278	27.47	14.17	-0.908221407495232	41	29.09	-0.481105221220148
CD304	NRP1	20153.23	11422.45	-0.819084240204976	111.63	48.73	-1.17940281697829	117.31	130.82	0.155997254827831
CD36	CD36	1143.45	520.77	-1.13316853261492	43.59	12.01	-1.77709923759611	167.29	125.47	-0.412154249263934
CD172a	SIRPA	18179.25	7564.75	-1.26481702805974	131.2	35.1	-1.87265143462052	92.17	69.07	-0.411068597075898
CD85g	LILRA4	496.61	642.3	0.370476210439819	0.43	2.02	1.07853340254669	8.08	8.71	0.0967789981282775
CD38-2	CD38	3339.28	3498.11	0.0670189765429858	13.74	40.09	1.47905080607259	65.54	71.25	0.118775721392537
CD243	ABCB1	574.16	471.14	-0.284748631632822	8.33	5.8	-0.456342334714057	80.5	99.75	0.30590787429689
CD72	CD72	1986.3	5009.58	1.33416793610851	1.08	3.64	1.15754127698648	64.04	73.62	0.198235102741752
CD158	KIR2DL1	515.92	519.83	0.0108715284088565	0.22	0.81	0.569108549520319	7.18	5.94	-0.237165180363488
MERTK	MERTK	4010	1277.04	-1.65002897579978	13.09	1.62	-2.42703289477219	137.36	88.86	-0.62267595184949
Folate-Receptor	FOLR2	3676.84	1641.76	-1.16273699411254	0	0.13	0.176322772640463	10.47	8.91	-0.210908428829337
TIM-4	TIMD4	358.7	473.83	0.400616928589814	0.22	3.64	1.92724365756469	17.06	37.21	1.08115236487665
CD171	L1CAM	409.03	341.11	-0.261269193696553	0.43	0.54	0.106915203916512	27.83	28.1	0.0134483163007397
CD325	CDH2	1846.25	1369.71	-0.430455754973393	0.32	0	-0.400537929583729	43.39	36.81	-0.231466859337859
CD93	CD93	27303.16	21492.6	-0.345213631165617	18.5	66.28	1.78670358161817	35.01	49.08	0.475836962742338
CD200	CD200	1037.32	1414.08	0.446632479918704	6.06	13.5	1.03831281163112	18.85	28.1	0.551880145765326
CD338	ABCG2	616.13	465.61	-0.403357202457159	2.16	0.81	-0.803934861093898	63.45	56.4	-0.167129621685963
C5L2	C5AR2	369.65	362.02	-0.0300084780264041	20.01	7.29	-1.3416321551773	36.21	22.17	-0.683432346260951
CD235a	GYPA	1139.04	670.76	-0.763066646523321	0.11	0.13	0.0257630960650815	4.19	4.35	0.0438043529306283
CD49a	ITGA1	3274.66	3075.94	-0.0902893074067756	8.98	13.63	0.551818048801226	120.31	132.8	0.141379634311049
CD49d	ITGA4	8515.39	8075.54	-0.0765046452160732	81.66	87.07	0.0914613021762109	64.94	96.38	0.56247161359874
CD73	NT5E	2902.27	4883.87	0.750641421769972	1.84	4.32	0.905535315996508	55.36	57.79	0.0608991662486227
CD79a	CD79A	829.16	687.21	-0.270540564311366	11.36	24.97	1.07116727077403	14.96	17.61	0.221617403836806
CD9	CD9	5297.9	939.44	-2.49428509336224	282.74	10.12	-4.67334085445545	61.35	34.44	-0.815010956162014
TCR-V-7.2	TRA	508.62	275.29	-0.883238550766397	NA	NA	NA	NA	NA	NA
TCR-V-2	TRD	1438.44	679.39	-1.08107381214786	NA	NA	NA	NA	NA	NA
TCR-V-9	TRG	591.34	571.49	-0.0491750197883907	NA	NA	NA	NA	NA	NA
TCR-V-24-J-18	TRAV24	392	345.02	-0.183673884255055	0	0.27	0.344828496997441	NA	NA	NA
CD354	TREM1	11788.98	8336.4	-0.499891813378325	34.94	51.43	0.544802137006413	67.04	66.1	-0.0200703745758393
CD202b	TEK	1037.32	857.7	-0.274025039743544	0	0	0	53.27	37.01	-0.513775883480432
CD305	LAIR1	12124.11	7593.07	-0.675052633119989	39.48	21.06	-0.875776499102927	47.88	39.19	-0.282407707759985
LOX-1	OLR1	2578.25	479.9	-2.42314278525961	175.12	3.24	-5.37635067437369	30.82	12.86	-1.19900657819383
CD158b	KIR2DL2	600.31	476.94	-0.331279435855359	NA	NA	NA	NA	NA	NA
CD203c	ENPP3	525.65	448.88	-0.227304265480027	0	0	0	46.99	67.49	0.513159547229664
CD133-2	PROM1	709.49	867.28	0.289346009144539	0.32	1.62	0.989028882178997	59.55	59.57	0.000476451470938562
CD209	CD209	1038.99	1053.41	0.0198663017778393	11.57	13.36	0.192071099402543	16.76	15.04	-0.146957439895186
CD110	MPL	756.63	619.23	-0.288690148994759	0	0	0	8.98	12.27	0.411056650032933
CD158e1	KIR3DL1	3190.27	3797.82	0.251420680037779	0.22	0.94	0.669175504624241	41.6	26.72	-0.619926172975987
CD158f	KIR2DL5A	210.6	185.19	-0.184564037572565	NA	NA	NA	NA	NA	NA
CD337	NCR3	474.11	490.42	0.0486950016885936	7.14	19.71	1.34722685395426	15.86	15.04	-0.0719303944871621
CD253	TNFSF10	451.6	678.18	0.585557391474532	158.79	306.28	0.943376744832335	63.45	78.37	0.300413446895034
CD186	CXCR6	626.01	470.46	-0.411353078569717	14.06	11.07	-0.319296093916907	8.98	20.58	1.11258314415076
CD226	CD226	4401.54	4620.32	0.0699688793914526	74.42	94.08	0.334194752800771	129.58	241.84	0.895072131726128
CD205	LY75	3135.22	2522.66	-0.313509209000343	10.28	12.01	0.205853894319002	92.17	99.75	0.112842440333196
CCR10	CCR10	1813.56	1183.57	-0.615256307043693	3.35	2.43	-0.342806824563278	16.46	18.41	0.152746559084224
CD271	NGFR	927.38	1088.21	0.230494784598374	0.22	0	-0.286881147788162	10.77	15.63	0.498673848248825
CD109	CD109	7608.23	4677.64	-0.701661246461247	10.17	7.69	-0.362201103668914	82	83.12	0.01933751361013
CD11a/CD18	ITGAL	1826.64	1140.95	-0.678482439006149	97.56	77.35	-0.331068981334959	58.06	71.84	0.302549565842884
CD126	IL6R	1722.33	1030.89	-0.739909802372729	68.79	56.69	-0.274699068394747	179.86	206.62	0.199072056155946
GP130	IL6ST	449.32	291.88	-0.620640874563272	84.15	44.68	-0.898443879203062	79.31	78.77	-0.00973336178311023
CD164	CD164	388.35	454.01	0.224830626278429	156.95	150.24	-0.0626281826470008	89.18	83.32	-0.0969326430003064
CD142	F3	7364.94	40705.73	2.46632578265253	14.28	45.63	1.60961388630415	28.13	32.06	0.182581023151966
CD307c/FcRL3	FCRL3	665.55	556.52	-0.257689540459691	1.62	4.86	1.1613338528848	8.08	14.65	0.785398454529066
CD307d	FCRL4	357.18	281.9	-0.340392605853883	0	3.51	2.17312743348066	7.78	13.06	0.679303749537177
CD307e	FCRL5	1993.14	1478.42	-0.430735014158561	0.43	3.24	1.56804911778481	10.77	13.46	0.296953231912674
CD319	SLAMF7	692.61	968.44	0.483026912166174	152.08	184.12	0.274174963438994	39.5	70.06	0.811115780671873
CD138-2	SDC1	646.54	470.6	-0.457405595746734	0.11	0	-0.150559676575381	13.47	11.08	-0.260444467206646
CD199	CCR9	768.03	603.86	-0.346438622112444	0.32	0	-0.400537929583729	4.19	8.51	0.873710802502683
CD45RB	PTPRC	3684.29	3177.51	-0.213427523891536	918.21	527.79	-0.797699598859475	201.41	225.02	0.15916987144842
CD99	CD99	4000.42	3277.32	-0.287555381677975	154.24	126.08	-0.288763343071956	97.56	108.45	0.151197793373407
CLEC12A	CLEC12A	7595.76	3227.68	-1.23443978367926	32.34	14.58	-1.09755887092475	37.11	35.03	-0.0809709563853778
CD46	CD46	2070.84	1900.46	-0.123805003618919	93.45	81.13	-0.201641498537886	38.31	41.36	0.107806225568242
VEGFR3	FLT4	310.8	273.54	-0.183604565335394	0.76	0	-0.815575428862572	17.66	12.67	-0.448935743245699
CLEC1B	CLEC1B	933.01	625.3	-0.576584117323279	0.11	0.13	0.0257630960650815	11.07	10.29	-0.0963801899820207
