Marker_name	Gene_symbol	protein_control	protein_stim	log2_protein_change	diff_protein_CLR	rna_control	rna_stim	log2_rna_change	atac_control	atac_stim	log2_atac_change
CD105	CD7	2390.22	500.81	-2.2525337428088	-0.819802970237554	270.54	335.19	0.308112077997065	25.38	24.26	-0.0625899254639922
CD201	PROCR	755.01	973.92	0.366878521439986	0.398381205459521	1.4	1.12	-0.178970141045319	9.08	10.1	0.139064037737552
CD194	CCR4	1783.46	1782.32	-0.000921958418167914	0.255692125892443	13.5	24.35	0.805932846988406	17.76	22.18	0.305220738491095
CD4-2	CD4	9398.7	6393.94	-0.555683889394243	0.044615601407697	42.15	18.11	-1.17503278108886	64.71	47.62	-0.434563048757506
CD44-1	CD44	7514.6	8531.19	0.183027808070983	0.580209223596343	232.44	198.82	-0.224350798547545	286.71	327.37	0.19070696198538
CD8a	CD8A	55056.6	71263.52	0.372242267074531	0.257508876119997	15.43	43.9	1.45038296467843	35.13	60.45	0.76621575582758
CD14	CD14	1100.61	821.64	-0.421280432709212	0.153741580323106	1.2	0.36	-0.693896872274321	18.6	18.06	-0.0403055350926288
CD16	FCGR3A	675.71	642.74	-0.0720595917436982	0.129050444403335	0.8	1.26	0.328325866085513	8.74	9.96	0.170254120878185
CD56(NCAM)Recombinant	NCAM1	1025.88	939.32	-0.127043891293064	0.119918007838319	0.27	0.54	0.278101853922736	40.79	42.32	0.0518754842859182
CD25	IL2RA	5647.44	46788.47	3.05025950629994	1.30461496401681	46.28	742.53	3.97508901278353	147.3	300.56	1.02392647925982
CD45RO	PTPRC	3560.79	2729.17	-0.383611672417742	0.152387954246435	1491.74	877.51	-0.764832290494749	403.98	411.72	0.0273126895646861
CD279	PDCD1	2228.5	4738.97	1.08815772846155	0.705713721793719	1.46	8.31	1.92012285221955	9.69	23.58	1.20122306265217
TIGIT	TIGIT	770.76	849.59	0.140311622420969	0.287941703670313	36.57	40.62	0.147695849093564	54.07	63.53	0.228703416993339
Rat-IgG2b-IsotypeCtrl	NA	181.04	88.68	-1.02139730816276	-0.120903639279747	NA	NA	NA	NA	NA	NA
CD20	MS4A1	473.89	445.79	-0.0879964809978289	0.156634389718556	1.06	2.83	0.894700054741739	3.59	2.94	-0.220298523957432
CD335	NCR1	746.59	747.97	0.00266066141112533	0.261280373987933	0.27	0.67	0.395019605701886	1.18	1.97	0.44613479602384
CD294	PTGDR2	584.87	334.95	-0.802334047074069	-0.0802383332718214	0.73	0.18	-0.551985178274883	2.75	4.87	0.646469907726809
CD31	PECAM1	9963.33	7644.42	-0.382177043736725	0.134387837124567	11.04	6.78	-0.62999333177351	94.8	75.36	-0.327208553219605
CD44-2	CD44	9134.79	10268.5	0.168764547969577	0.560625113369802	232.44	198.82	-0.224350798547545	286.71	327.37	0.19070696198538
CD133-1	PROM1	819.94	632.47	-0.374000486135882	0.161571264565856	0	0	0	33.39	42.46	0.337699058654492
Podoplanin	PDPN	234.33	107.42	-1.11805433582032	-0.0780191704836221	0.13	0.18	0.0624640869466536	2.52	2.65	0.0523210351300822
CD140a	PDGFRA	400.45	323.55	-0.3067795572355	0.150512259340901	0	0.04	0.0565835283663675	14.79	18.63	0.314049001605934
CD140b	PDGFRB	479.84	328.36	-0.545891561830685	0.0600978144809002	0.07	0.04	-0.0410272682600548	16.75	17.56	0.0643776858481654
Cadherin11	CDH11	563.44	414.41	-0.442284284568788	0.111764123311618	0	0	0	15.69	15.3	-0.0341119902441586
CD340	ERBB2	1249.04	961.67	-0.376861023413304	0.134002562202149	1	0.4	-0.514573172829758	40.68	41.78	0.0375812048865362
CD146	MCAM	931.38	675.11	-0.463660072817131	0.107917405182061	0.93	0.4	-0.463174020323114	26.5	25.94	-0.0296817678370812
CD324	CDH1	1382.65	924.2	-0.580641882348393	-0.000467076568486421	1	1.35	0.232660756790275	21.91	52.53	1.22437019401032
IgM	IGHM	188.27	186.44	-0.0140168973109563	0.152905621406658	1.93	5.93	1.24195468771497	NA	NA	NA
TCRgd	TRD/TRG	1005.28	753.13	-0.416146646921974	0.0627236379932542	NA	NA	NA	NA	NA	NA
CD195	CCR5	742.65	531.15	-0.48279081115387	0.110712143951624	1.13	2.56	0.74102381074056	12.55	27.13	1.05381670107347
CD196	CCR6	1692.16	1260.78	-0.424257922803866	0.105853322114822	10.11	10.78	0.0844807224413687	33	33.07	0.00296720107128221
CD185	CXCR5	417.02	398.5	-0.0653764659724158	0.208636192300471	2.73	3.06	0.122304096929939	56.25	34.76	-0.678928956688351
CD103	ITGAE	1587.22	1119.56	-0.503190868700793	0.163291668563293	33.04	69.73	1.05509122427928	90.71	124.88	0.456898125690298
CD69	CD69	2265.5	103220.1	5.50912793878735	1.50573498946945	63.43	257.9	2.00659046536604	80.63	93.31	0.208311295410429
CD161	KLRB1	392.11	343.23	-0.191560228534116	0.0957888078094728	61.37	9.48	-2.57321354204208	6.67	5.88	-0.156818012800836
CD152	CTLA4	509.69	495.46	-0.0407703255456005	0.296885968286625	6.72	48.62	2.68424898262435	59.45	84.64	0.502542456249023
CD223	LAG3	1069.84	1309.81	0.291715648852807	0.431214862246093	7.51	32.04	1.95698264973348	9.64	21.68	1.09192248944104
CD27	CD27	24980.17	23330.36	-0.0985706421528835	0.445064157923005	145.74	223.53	0.613646029570016	48.86	55.83	0.188769832559829
CD107a	LAMP1	1700.77	2267.42	0.414651716233451	0.546232872906034	49.8	48.08	-0.0496932479966232	25.05	24.47	-0.032484412891676
CD95	FAS	3507.03	5749.92	0.713131683312231	0.848253527155526	37.37	53.6	0.508922186204422	79.51	97.03	0.284055334110556
CD134	TNFRSF4	1072.59	5562.64	2.373585933437	1.01908063077881	53.46	512.71	3.23768527030575	5.6	14.15	1.1987798641145
HLA-DR	HLA-DRA	2735.81	3620.16	0.403956642646829	0.2776815920105	13.63	13.07	-0.0563074409019541	4.48	4.37	-0.0292538049751141
CD1c	CD1C	595.22	579.83	-0.0377288000811275	0.270120832672132	0.07	0	-0.0976107966264223	0.56	0.75	0.16580889297008
CD11b-2	ITGAM	1061.78	893.02	-0.249463972521597	0.138477759187306	0.6	0.18	-0.439285045525521	14.96	19.92	0.390422200024596
CD64	FCGR1A	936.51	927.52	-0.0139010935128008	0.327766481770055	0	0.04	0.0565835283663675	0.11	0.68	0.597901556428654
CD141	THBD	969.75	1139.44	0.232418839377817	0.231692741591418	0.07	0	-0.0976107966264223	1.06	1.79	0.437620784645969
CD1d	CD1D	386.98	309.87	-0.31967088629667	0.109700818100235	0	0	0	1.51	2.69	0.555933452109624
CD314	KLRK1	3946.03	4500.49	0.189635130038023	0.368229994569667	0.73	0.72	-0.00836347293462677	12.33	20.71	0.703682945526171
CD66b	CEACAM8	536.89	340.4	-0.655848109434232	-0.0136400574434004	0.07	0.09	0.0267173383757794	2.13	2.4	0.119372089205083
CD35	CR1	9166.19	8241.5	-0.153397593328216	0.148320992121297	0.86	0.09	-0.770974486331105	30.03	30.17	0.00649445809664878
CD57-Recombinant	B3GAT1	1313.05	1227.03	-0.0976743664169373	0.203511589133893	0.13	0.18	0.0624640869466536	9.24	11.39	0.274960472140602
CD366	HAVCR2	1118.74	1066.12	-0.0694413625270778	0.296609446462362	2.06	11.55	2.03608380614548	103.26	115.49	0.160020348033621
CD272	BTLA	482.77	363.4	-0.40879834719072	0.12746764218851	5.72	4.09	-0.400795576703065	91.27	81.88	-0.154837653660498
CD278	ICOS	13414.6	43052.96	1.68223436014514	1.11128182884076	38.03	66.63	0.793079890983966	77.66	97.89	0.330194453208834
CD275-2	ICOSLG	1723.39	623.55	-1.46519712091346	-0.322529279115241	1.33	1.08	-0.163746426513188	NA	0	NA
CD96	CD96	1630.44	1435.32	-0.183768724663661	0.306673929906142	83.18	50.28	-0.715081247722314	325.59	427.23	0.390905251360628
CD39	ENTPD1	2322.09	1856.23	-0.322892557219119	0.187248506082894	2.66	3.28	0.225767148117104	41.91	55.58	0.398978275647867
CD178	FASLG	827.26	605.31	-0.450028099483354	0.117685177676296	1.2	9.53	2.25893000750106	38.77	53.43	0.452721473919882
CX3CR1	CX3CR1	797.41	653.89	-0.285877188749737	0.249472597282271	0.33	0.36	0.0321804057491497	11.43	21.07	0.828260333227129
CD24	CD24	1168.64	731.91	-0.674356601284224	0.0168916346373618	0.66	0.27	-0.386354744574759	3.03	5.63	0.718229031584621
CD21	CR2	630.02	826.4	0.390899225830273	0.232901228046086	0.2	0	-0.263034405833794	36.87	26.66	-0.453254264733925
CD79b	CD79B	1055.74	856.53	-0.301361411304325	0.155346476575544	14.76	10.11	-0.504408718067284	14.34	10.79	-0.379734764523171
CD66a/c/e	CEACAM1	417.11	409.65	-0.025973250874054	0.325381967549023	8.05	1.8	-1.6924909650256	18.38	18.24	-0.0104597716450392
CD244	CD244	1371.39	1355.22	-0.0170992937089155	0.19659766584737	0.6	0.31	-0.288505093349912	48.86	43.32	-0.169925001442312
CD235ab	GYPA	175.18	150.2	-0.220592018873535	0.183436829836268	0	0	0	2.13	3.33	0.468204367794107
Siglec-8	SIGLEC8	1551.05	849.05	-0.868555427072484	-0.133331925906319	0.07	0.04	-0.0410272682600548	0.84	3.48	1.28379296600059
CD206	MRC1	1112.42	682.09	-0.704850325877469	-0.031285255858362	0.66	0.04	-0.674599713205833	20.9	18.85	-0.141791862458215
CD169	SIGLEC1	505.39	337.48	-0.581178324439493	0.0382599399216516	0	0	0	4.09	4.19	0.0280688822821858
CD370	CLEC9A	556.58	417.68	-0.413330810318203	0.128856315878279	0	0	0	7.56	8.74	0.186310975681195
XCR1	XCR1	399.16	269.86	-0.563029607343736	0.0529373855744643	0	0	0	3.08	4.16	0.338801913451758
Notch1	NOTCH1	1485.76	2543.88	0.775425850419383	1.09241698840332	14.83	23.77	0.645932613109182	105.11	122.08	0.21403572391147
integrin-7	ITGB7	6834.67	3837.62	-0.832495001665671	0.0122179104630566	40.62	19.59	-1.01533313510308	55.69	56.36	0.0169507548824785
CD268	TNFRSF13C	1171.67	1343.02	0.196757523654741	0.305611974803985	4.59	6.52	0.427884378834447	8.96	10.18	0.166702540775109
CD42b	GP1BB	425.9	448.07	0.0730421838987183	0.375274292060874	0	0	0	1.62	2.47	0.405368851040811
CD54	ICAM1	1727.51	3528.35	1.02987355688333	0.630834098846989	5.05	15.37	1.4360472743122	31.88	37.44	0.225398037092068
CD62P	SELP	1181.56	1333.85	0.174764248246016	0.207853937197409	0.4	0.13	-0.309104054529779	80.29	73.64	-0.12312890193169
CD119	IFNGR1	1458.47	859.76	-0.761761614243949	-0.0449508899879179	27.79	14.78	-0.867470583549976	52.72	49.16	-0.0989219566254035
TCRab	TRA	5939.28	422.99	-3.80842879157668	-1.63770266801179	NA	NA	NA	NA	NA	NA
Notch3	NOTCH3	1007.94	614.88	-0.712119198131039	-0.0714384621163452	0.4	0.31	-0.095860015407516	11.43	13.08	0.179821037584812
CD68	CD68	450.35	333.76	-0.431119454800476	0.0600563960440437	2.86	1.89	-0.417531354767402	11.09	22.47	0.957003597274047
Rat-IgG1k-isotypeCtrl	NA	2295.07	1108.16	-1.04969913190317	-0.251289557958232	NA	NA	NA	NA	NA	NA
Rat-IgG1l-IsotypeCtrl	NA	781.11	362.61	-1.10497965283567	-0.224787678746099	NA	NA	NA	NA	NA	NA
Rat-IgG2c-IsotypeCtrl	NA	531.58	265.35	-0.999674971076827	-0.176642245230501	NA	NA	NA	NA	NA	NA
CD192	CCR2	613.53	563.27	-0.123097792266398	0.333382446817676	3.39	1.03	-1.11274121235018	8.46	20.14	1.16006328804329
CD102	ICAM2	5570.34	3978.36	-0.485487940518391	0.190396931186129	74.27	48.89	-0.593324302121903	93.79	69.8	-0.420985507766976
CD106	VCAM1	2308.26	1424.12	-0.696347211280834	-0.0500764766578937	0.07	0.04	-0.0410272682600548	5.15	5.37	0.050706962029698
CD122	IL2RB	1342.08	850.64	-0.657229623566055	-0.0546570785678404	24.14	68.61	1.46930992519618	70.09	118.1	0.744454873210346
CD267	TNFRSF13B	194.77	161.5	-0.268719983637805	0.118248697693415	0.33	1.21	0.732620123890242	7.9	7.02	-0.15020309939884
CD62E	SELE	533.5	405.39	-0.395325045658297	0.107449887128586	0	0.04	0.0565835283663675	7.79	9.1	0.200420222495753
CD135	FLT3	411.62	295.39	-0.477316978525939	0.0684011442940881	0	0	0	22.8	25.87	0.17503474781786
CD41	ITGA2B	458.78	537.84	0.228913239597715	0.156309371828117	0.66	0.27	-0.386354744574759	22.69	23.4	0.0426029492100171
CD137	TNFRSF9	528.74	2163.37	2.03059079565141	0.818955465522509	5.19	75.53	3.62801408510936	14.01	35.04	1.26367503419285
CD43	SPN	4443.27	2941.93	-0.594693239549933	0.02829896773682	100.93	50.68	-0.979900752329807	29.3	28.67	-0.0303128668800463
CD163	CD163	678.55	552.62	-0.295683643143827	0.225600261455412	0	0	0	3.87	3.65	-0.0666910560869484
CD83	CD83	1067.46	1135.37	0.0888997514576284	0.382648434711379	7.65	30.51	1.86503771649345	42.92	39.52	-0.11624388020406
CD357	TNFRSF18	974.97	733.2	-0.4106636875347	0.155314882393429	26.46	158.47	2.53788151457095	10.98	24.04	1.06360665414383
CD59	CD59	1212.32	1142.76	-0.0851757387553758	0.417072349112216	43.08	40.93	-0.0721413937247677	110.27	105.99	-0.056588714661448
CD309	KDR	290.74	218.31	-0.411711608504441	0.119798346926432	0	0.09	0.124328135002202	4.31	4.34	0.0081278808834004
CD124	IL4R	571.59	490.65	-0.219870831709709	0.236973701043275	46.41	90.09	0.942101288380292	78.95	132.19	0.736315829086514
CD13	ANPEP	2948.81	1883.15	-0.646708207507251	-0.00926856279879301	0.4	0.09	-0.36109869216804	8.46	7.78	-0.107619243804037
CD184	CXCR4	6154.75	3280.8	-0.907447320926465	-0.219692230595334	287.96	123.97	-1.20928799141013	84.44	60.2	-0.48137999410754
CD2	CD2	36362.96	61142.25	0.749683922900325	0.901985289869242	488.09	1053.32	1.10814093782429	109.15	178.16	0.701779076267452
CD29	ITGB1	3637.61	2842.09	-0.355927656690186	0.208056766362481	208.84	101.63	-1.03183720277593	124.05	125.56	0.0173164474044595
CD303	CLEC4C	514.54	367.91	-0.482815472021795	0.100640170230098	0.2	0	-0.263034405833794	3.42	3.83	0.127976819444342
CD49b	ITGA2	392.02	449.71	0.197596729583758	0.204613321881447	1.46	1.71	0.139634536014632	71.16	110.79	0.631519896213456
CD61	ITGB3	166.02	152.53	-0.121500282214583	0.0732176525415575	0	0.09	0.124328135002202	14.79	17.56	0.233185539267335
CD81	CD81	11623.72	10374.73	-0.16398312402097	0.474657767456603	117.22	167.64	0.512472646386324	19.95	23.86	0.246876052465771
CD98	SLC3A2	1399.77	2428.67	0.794540287662692	0.724283602938881	88.3	150.61	0.763632834491867	97.04	99.54	0.0363272048285272
CD177	CD177	152.83	153.57	0.00692345252373458	0.261433517171528	0	0	0	0.95	0.72	-0.181065559047513
CD55	CD55	12414.35	11851.69	-0.0669104131533497	0.407538655309624	138.3	92.74	-0.571458558009591	155.43	175.15	0.171287256939653
IgD	IGHD	395.5	537.25	0.440955548463255	0.297876419667627	0.13	0.54	0.446607578279714	NA	NA	NA
CD18	ITGB2	11252.3	10586.74	-0.0879534573863524	0.414725374528375	51.26	27.95	-0.852143776443422	126.01	110.94	-0.182216437713825
CD28	CD28	14938.54	1560.64	-3.25800191018255	-1.44153250298057	82.91	102.22	0.298807876086702	181.03	230.8	0.348704328642855
TSLPR	CRLF2	8.61	20.27	1.14621169718692	0.21099812340596	0	0.09	0.124328135002202	36.14	37.52	0.0526338879080387
CD38-1	CD38	5646.43	5730.64	0.021353514357303	0.423138183012213	7.25	23.9	1.59367971782227	40.45	60.34	0.565456064883907
CD127	IL7R	16338.04	4124.99	-1.9855109907147	-0.793106793012007	1365.54	243.66	-2.48167753318099	196.16	184.32	-0.0893482986379593
CD45-2	PTPRC	28722.63	26265.45	-0.129016855334838	0.567217150894	1491.74	877.51	-0.764832290494749	403.98	411.72	0.0273126895646861
CD15	FUT4	517.02	427.05	-0.275228473424846	0.216695499945361	2.13	2.88	0.30989399525451	28.58	28.16	-0.0206313327721305
CD22	CD22	1812.58	2465.7	0.443741879402013	0.259573061010084	0.2	0.04	-0.206450877467426	13	16.12	0.290255874568818
CD71	TFRC	5337.93	57910.38	3.43922433724182	1.19973703071986	18.28	89.1	2.22442205447094	61.07	64.82	0.0846298805431832
B7-H4	VTCN1	390.01	264.41	-0.558982775677578	0.0365089534499097	0	0	0	10.42	12.29	0.218778453913332
CD26	DPP4	9512.98	10574.25	0.152570871581362	0.593057176306009	41.02	40.98	-0.00137399538089188	204.34	207.97	0.0252811518428624
CD193	CCR3	533.04	486.59	-0.13127926693028	0.263993236295398	0.07	0.04	-0.0410272682600548	23.7	40.17	0.737082406849229
CD115	CSF1R	306.22	116.29	-1.38919212224122	-0.226724160706361	0.66	0	-0.7311832415722	14.01	20.17	0.496097292386901
CD204	MSR1	447.42	342.19	-0.385843109626603	0.127464126820111	0.07	0	-0.0976107966264223	83.15	68.91	-0.267464436576307
CD144	CDH5	1674.67	1125.26	-0.573198142497092	0.0494063445262714	0	0	0	8.29	6.74	-0.263345030238242
CD301	CLEC10A	369.68	266.59	-0.470150074198063	0.0952432710751471	0	0	0	4.15	3.22	-0.287329433363396
CD1a	CD1A	675.44	410.74	-0.7162283619177	-0.0435471014897223	0	0	0	0.5	0.47	-0.0291463456595165
CD207	CD207	510.15	350.17	-0.541577118152201	0.0655645350977118	0	0	0	0.9	1.58	0.441371647092306
CD63	CD63	1811.48	3610.84	0.99476890900004	0.720243468649807	118.15	240.7	1.02043852157531	25.21	33.36	0.390612682810046
CD284	TLR4	396.05	266.15	-0.57167067839378	0.0592179560142947	0.07	0	-0.0976107966264223	2.19	1.5	-0.351628329102782
CD304	NRP1	1813.95	1440.48	-0.332378983895104	0.156494327644965	0.53	0.18	-0.374744793330811	103.15	106.78	0.0494266524617375
CD36	CD36	127.1	123.13	-0.0454186444925018	0.132479368617576	0.27	0.22	-0.0579473492092796	57.71	57.01	-0.0173046373620563
CD172a	SIRPA	1713.77	1173.04	-0.54653351998822	0.0367645616507946	0.13	0.04	-0.119739244274095	7.17	11.82	0.649988278473058
CD85g	LILRA4	378.74	321.57	-0.235399703908387	0.169866956163231	0	0	0	0.62	1.15	0.408342846704835
CD38-2	CD38	3494.4	3569.1	0.0305069238491557	0.396137472305155	7.25	23.9	1.59367971782227	40.45	60.34	0.565456064883907
CD243	ABCB1	674.06	566	-0.251667000855956	0.190321738796954	7.38	3.19	-1	118.06	113.73	-0.0534461178710494
CD72	CD72	1273.31	1713.17	0.427793910326457	0.228468836299378	0.66	0.85	0.156342029169387	82.31	76.25	-0.108954744860903
CD158	KIR2DL1	353.74	369.85	0.0640737532384522	0.148564371700297	0.13	0.22	0.110558375147699	0.78	1.54	0.512951255805768
MERTK	MERTK	3201.27	1652.54	-0.953537008586481	-0.219012655097159	0.2	0.18	-0.0242475462466774	37.2	55.86	0.573841460754416
Folate-Receptor	FOLR2	489.82	339.81	-0.526226369788337	0.0521517040091226	0	0	0	1.62	2.08	0.233363539157451
TIM-4	TIMD4	331.86	287.41	-0.206794323493207	0.173606257580513	0.66	4.45	1.71507298831736	35.24	85.57	1.25628420409855
CD171	L1CAM	478.01	338.37	-0.497196736956583	0.0966619723252802	0.2	0.22	0.0238467419543677	27.57	25.12	-0.129346139389941
CD325	CDH2	2628.12	1675.94	-0.648748920898623	-0.0408362551797417	0	0.04	0.0565835283663675	36.81	36.66	-0.00573484937300633
CD93	CD93	4944.9	3778.04	-0.388213281336661	0.0969949595555271	0.13	0	-0.176322772640463	3.03	3.48	0.152718893529637
CD200	CD200	1874.85	1520.63	-0.301926873826676	0.201902943073082	1	4.67	1.5033487351675	35.75	39.27	0.131961222334665
CD338	ABCG2	730.01	528.67	-0.464797343864979	0.065416016350477	0.4	0.54	0.137503523749935	38.72	48.12	0.306444937841806
C5L2	C5AR2	307.04	242.95	-0.336532218483185	0.129924774169239	0.86	0.54	-0.27237227041313	4.31	4.34	0.0081278808834004
CD235a	GYPA	411.16	292.86	-0.488075504764859	0.060254866076982	0	0	0	2.13	3.33	0.468204367794107
CD49a	ITGA1	2785.63	2324.13	-0.261210077845586	0.259023327833654	4.39	4.76	0.0957835386898069	133.13	121.44	-0.131557001736806
CD49d	ITGA4	10740.32	8070.08	-0.412337656775466	0.181760643658025	149	91.3	-0.700559947737469	147.42	137.81	-0.096574007414837
CD73	NT5E	4377.7	4869.84	0.1536679844154	0.419899495515443	1.6	1.35	-0.145850866463455	31.88	50.74	0.654069755003059
CD79a	CD79A	1086.87	775.68	-0.486113944205015	0.0789550531014644	1.99	1.8	-0.0947186572531389	38.44	20.14	-0.899684174995228
CD9	CD9	929.18	537.05	-0.789769674483415	0.0385557939291602	3.66	1.57	-0.858561595460402	35.75	28.67	-0.308739323130822
TCR-V-7.2	TRA	561.52	261.49	-1.09964192932065	0.0849764234113963	NA	NA	NA	NA	NA	NA
TCR-V-2	TRD	725.71	555.09	-0.386061365053571	0.176567594244767	NA	NA	NA	NA	NA	NA
TCR-V-9	TRG	346.33	226.29	-0.611772814480096	-0.00240265658141242	NA	NA	NA	NA	NA	NA
TCR-V-24-J-18	TRAV24	614.27	398.05	-0.624650125795741	0.00422167418311096	0.66	0.18	-0.492396381985084	NA	NA	NA
CD354	TREM1	1493.36	1445.83	-0.0466323259309632	0.22271888468558	0.07	0	-0.0976107966264223	7.17	7.74	0.0972972013549151
CD202b	TEK	1469.46	957.31	-0.617703211611219	-0.02869291265619	0	0	0	17.31	17.16	-0.011867588506422
CD305	LAIR1	4208.29	4474.41	0.0884429482941568	0.455640240178528	5.05	0.67	-1.8570870396879	27.29	15.91	-0.742415516986269
LOX-1	OLR1	1026.34	561.79	-0.868245123952416	-0.117274262866474	0.47	0.13	-0.379493382421177	7.28	4.8	-0.513577867484391
CD158b	KIR2DL2	568.75	462.59	-0.297479572874419	0.172494016343868	NA	NA	NA	NA	NA	NA
CD203c	ENPP3	717.65	497.49	-0.527724750581255	0.0434404991300688	0.07	0	-0.0976107966264223	61.24	63.78	0.0577064078089947
CD133-2	PROM1	878.82	673.57	-0.383240237722173	0.149815233424843	0	0	0	33.39	42.46	0.337699058654492
CD209	CD209	2601.66	1577.54	-0.721396037926692	-0.0503017694372561	0.13	0	-0.176322772640463	1.34	3.37	0.901124749917194
CD110	MPL	619.94	634.61	0.0336879517814798	0.420775750916549	0	0	0	11.6	12.58	0.108059745857453
CD158e1	KIR3DL1	3298.43	2693.33	-0.29229024808058	0.0761142460465827	0.27	0.13	-0.168505724356978	2.75	3.58	0.288457002713701
CD158f	KIR2DL5A	311.44	226.49	-0.457776036980794	0.091324529165843	NA	NA	NA	NA	NA	NA
CD337	NCR3	641.74	516.03	-0.313987265729548	0.121153370090039	10.31	9.39	-0.122403275085609	9.53	10.75	0.158155320426645
CD253	TNFSF10	546.96	621.22	0.183354184988843	0.356128311878269	116.02	119.38	0.040840598582059	102.54	100.47	-0.0291349712574029
